Timestamp cellId CellModeEnergy
0.001 2 1
0.001 3 1
0.001 8 1
0.001 7 1
0.001 6 0
0.001 4 0
0.001 5 0
0.202 2 1
0.202 3 1
0.202 8 1
0.202 7 1
0.202 6 0
0.202 4 0
0.202 5 0
0.403 2 1
0.403 3 1
0.403 8 1
0.403 7 1
0.403 6 0
0.403 4 0
0.403 5 0
0.604 2 1
0.604 3 1
0.604 8 1
0.604 7 1
0.604 6 0
0.604 4 0
0.604 5 0
0.805 2 1
0.805 3 1
0.805 8 1
0.805 7 1
0.805 6 0
0.805 4 0
0.805 5 0
1.006 2 1
1.006 3 1
1.006 8 1
1.006 7 1
1.006 6 0
1.006 4 0
1.006 5 0
1.207 2 1
1.207 3 1
1.207 8 1
1.207 7 1
1.207 6 0
1.207 4 0
1.207 5 0
1.408 2 1
1.408 3 1
1.408 8 1
1.408 7 1
1.408 6 0
1.408 4 0
1.408 5 0
1.609 2 1
1.609 3 1
1.609 8 1
1.609 7 1
1.609 6 0
1.609 4 0
1.609 5 0
1.81 2 1
1.81 3 1
1.81 8 1
1.81 7 1
1.81 6 0
1.81 4 0
1.81 5 0
2.011 7 1
2.011 3 1
2.011 8 1
2.011 2 1
2.011 6 0
2.011 4 0
2.011 5 0
2.212 2 1
2.212 3 1
2.212 8 1
2.212 7 1
2.212 6 0
2.212 4 0
2.212 5 0
2.413 2 1
2.413 3 1
2.413 8 1
2.413 7 1
2.413 6 0
2.413 4 0
2.413 5 0
2.614 2 1
2.614 3 1
2.614 8 1
2.614 7 1
2.614 6 0
2.614 4 0
2.614 5 0
2.815 2 1
2.815 3 1
2.815 8 1
2.815 7 1
2.815 6 0
2.815 4 0
2.815 5 0
3.016 2 1
3.016 3 1
3.016 8 1
3.016 7 1
3.016 6 0
3.016 4 0
3.016 5 0
3.217 2 1
3.217 3 1
3.217 8 1
3.217 7 1
3.217 6 0
3.217 4 0
3.217 5 0
3.418 2 1
3.418 3 1
3.418 8 1
3.418 7 1
3.418 6 0
3.418 4 0
3.418 5 0
3.619 7 1
3.619 3 1
3.619 8 1
3.619 2 1
3.619 6 0
3.619 4 0
3.619 5 0
3.82 7 1
3.82 3 1
3.82 8 1
3.82 2 1
3.82 6 0
3.82 4 0
3.82 5 0
4.021 7 1
4.021 3 1
4.021 8 1
4.021 2 1
4.021 6 0
4.021 4 0
4.021 5 0
4.222 7 1
4.222 3 1
4.222 8 1
4.222 2 1
4.222 6 0
4.222 4 0
4.222 5 0
4.423 7 1
4.423 3 1
4.423 8 1
4.423 2 1
4.423 6 0
4.423 4 0
4.423 5 0
4.624 7 1
4.624 3 1
4.624 8 1
4.624 2 1
4.624 6 0
4.624 4 0
4.624 5 0
4.825 7 1
4.825 3 1
4.825 8 1
4.825 2 1
4.825 6 0
4.825 4 0
4.825 5 0
5.026 7 1
5.026 3 1
5.026 8 1
5.026 2 1
5.026 6 0
5.026 4 0
5.026 5 0
5.227 7 1
5.227 3 1
5.227 8 1
5.227 2 1
5.227 6 0
5.227 4 0
5.227 5 0
5.428 2 1
5.428 3 1
5.428 8 1
5.428 7 1
5.428 6 0
5.428 4 0
5.428 5 0
5.629 2 1
5.629 3 1
5.629 8 1
5.629 7 1
5.629 6 0
5.629 4 0
5.629 5 0
5.83 2 1
5.83 3 1
5.83 8 1
5.83 7 1
5.83 6 0
5.83 4 0
5.83 5 0
6.031 2 1
6.031 3 1
6.031 8 1
6.031 7 1
6.031 6 0
6.031 4 0
6.031 5 0
6.232 2 1
6.232 3 1
6.232 8 1
6.232 7 1
6.232 6 0
6.232 4 0
6.232 5 0
6.433 2 1
6.433 3 1
6.433 8 1
6.433 7 1
6.433 6 0
6.433 4 0
6.433 5 0
6.634 2 1
6.634 3 1
6.634 8 1
6.634 7 1
6.634 6 0
6.634 4 0
6.634 5 0
6.835 2 1
6.835 3 1
6.835 8 1
6.835 7 1
6.835 6 0
6.835 4 0
6.835 5 0
7.036 2 1
7.036 3 1
7.036 8 1
7.036 7 1
7.036 6 0
7.036 4 0
7.036 5 0
7.237 2 1
7.237 3 1
7.237 8 1
7.237 7 1
7.237 6 0
7.237 4 0
7.237 5 0
7.438 8 1
7.438 3 1
7.438 2 1
7.438 7 1
7.438 6 0
7.438 4 0
7.438 5 0
7.639 8 1
7.639 3 1
7.639 2 1
7.639 7 1
7.639 6 0
7.639 4 0
7.639 5 0
7.84 8 1
7.84 3 1
7.84 2 1
7.84 7 1
7.84 6 0
7.84 4 0
7.84 5 0
8.041 8 1
8.041 3 1
8.041 2 1
8.041 7 1
8.041 6 0
8.041 4 0
8.041 5 0
8.242 8 1
8.242 3 1
8.242 2 1
8.242 7 1
8.242 6 0
8.242 4 0
8.242 5 0
8.443 8 1
8.443 3 1
8.443 2 1
8.443 7 1
8.443 6 0
8.443 4 0
8.443 5 0
8.644 2 1
8.644 3 1
8.644 8 1
8.644 7 1
8.644 6 0
8.644 4 0
8.644 5 0
8.845 7 1
8.845 3 1
8.845 8 1
8.845 2 1
8.845 6 0
8.845 4 0
8.845 5 0
9.046 7 1
9.046 3 1
9.046 8 1
9.046 2 1
9.046 6 0
9.046 4 0
9.046 5 0
9.247 7 1
9.247 3 1
9.247 8 1
9.247 2 1
9.247 6 0
9.247 4 0
9.247 5 0
9.448 7 1
9.448 3 1
9.448 8 1
9.448 2 1
9.448 6 0
9.448 4 0
9.448 5 0
9.649 7 1
9.649 3 1
9.649 8 1
9.649 2 1
9.649 6 0
9.649 4 0
9.649 5 0
9.85 7 1
9.85 3 1
9.85 8 1
9.85 2 1
9.85 6 0
9.85 4 0
9.85 5 0
10.051 7 1
10.051 3 1
10.051 8 1
10.051 2 1
10.051 6 0
10.051 4 0
10.051 5 0
10.252 7 1
10.252 3 1
10.252 8 1
10.252 2 1
10.252 6 0
10.252 4 0
10.252 5 0
10.453 7 1
10.453 3 1
10.453 8 1
10.453 2 1
10.453 6 0
10.453 4 0
10.453 5 0
10.654 7 1
10.654 3 1
10.654 8 1
10.654 2 1
10.654 6 0
10.654 4 0
10.654 5 0
10.855 7 1
10.855 3 1
10.855 8 1
10.855 2 1
10.855 6 0
10.855 4 0
10.855 5 0
11.056 7 1
11.056 3 1
11.056 8 1
11.056 2 1
11.056 6 0
11.056 4 0
11.056 5 0
11.257 7 1
11.257 3 1
11.257 8 1
11.257 2 1
11.257 6 0
11.257 4 0
11.257 5 0
11.458 7 1
11.458 3 1
11.458 8 1
11.458 2 1
11.458 6 0
11.458 4 0
11.458 5 0
11.659 8 1
11.659 3 1
11.659 2 1
11.659 7 1
11.659 6 0
11.659 4 0
11.659 5 0
11.86 8 1
11.86 3 1
11.86 2 1
11.86 7 1
11.86 6 0
11.86 4 0
11.86 5 0
12.061 8 1
12.061 3 1
12.061 2 1
12.061 7 1
12.061 6 0
12.061 4 0
12.061 5 0
12.262 7 1
12.262 3 1
12.262 8 1
12.262 2 1
12.262 6 0
12.262 4 0
12.262 5 0
