% time	cellId	IMSI	RNTI	sinrLinear	componentCarrierId
0.028	1	0	28	208.145	0
0.029	1	0	29	158.624	0
0.03	1	0	30	720.579	0
0.034	1	0	34	788.845	0
0.035	1	0	35	517.096	0
0.036	1	0	36	1354	0
0.037	1	0	37	182.385	0
0.038	1	0	38	1564.72	0
0.039	1	0	39	447.29	0
0.04	1	0	40	156.37	0
0.041	1	0	41	135.622	0
0.042	1	0	42	195.65	0
0.043	1	0	43	1477.59	0
0.044	1	0	44	636.017	0
0.045	1	0	45	385.113	0
0.046	1	0	46	307.703	0
0.047	1	0	47	214.164	0
0.048	1	0	48	388.89	0
0.049	1	0	49	491.307	0
0.05	1	0	50	279.626	0
